FFD Points: X, Y, Z
0.705169245059, 0.798513968973, 0.520702544395
0.740553272033, 0.0322014783693, 1.59330706317
0.740549936982, 0.768341180724, 0.520702544409
0.775915068741, 0.0284035423125, 1.59330706311
0.77591205195, 0.736692241067, 0.520702544389
0.811257562714, 0.0244299916939, 1.59330706314
0.811254864008, 0.703579871118, 0.520702544397
0.846579706394, 0.020279431417, 1.59330706314
0.84657732559, 0.668992445268, 0.520702544397
0.881880087268, 0.0159476771626, 1.59330706311
0.88187802417, 0.63289509477, 0.520702544388
0.917156874243, 0.0114278004607, 1.59330706304
0.917155128639, 0.595230083337, 0.520702544365
0.950582301074, 0.00695983838733, 1.593307063
0.950580856302, 0.5579976866, 0.520702544352
0.967285550479, 0.00465616300035, 1.59330706303
0.967284256038, 0.538800711658, 0.520702544364
0.975634664054, 0.00348626225392, 1.593307063
0.975633444755, 0.529051701254, 0.520702544353
0.984852899411, 0.0021800632506, 1.593307063
0.984851763076, 0.518166890973, 0.520702544353
0.993509041173, 0.00093940257325, 1.593307063
0.993507982745, 0.507828224307, 0.520702544354
0.997836382542, 0.00031400353393, 1.59330706307
0.99783536306, 0.502616652505, 0.520702544377
0.0262598529483, -0.0235190687344, 3.01272261785
0.0262500891991, 0.304011027029, 0.984547162635
0.02031260041, -0.0171981067786, 3.01640426999
0.020302783135, 0.356684832097, 0.98575027368
0.0161622871486, -0.00923021276263, 3.0192743312
0.0161524325205, 0.423082842264, 0.986688168464
0.0145753615156, 0.0, 3.02036008925
0.014565492605, 0.5, 0.987042978603
0.42747994731, -0.0472298485198, 3.031647265
0.427473794574, 0.106424488593, 0.990731465534
0.399174037008, -0.0480898704903, 3.03247578005
0.399167629517, 0.0992577582844, 0.991002212354
0.370826203566, -0.0487760436602, 3.03312002209
0.370819540942, 0.0935397438357, 0.991212741402
0.342480001362, -0.0492845769631, 3.03353568958
0.34247308362, 0.0893020369405, 0.991348575566
0.314128305997, -0.0495862325699, 3.03370972079
0.314121133087, 0.0867882821125, 0.991405446469
0.28577647763, -0.0496550082482, 3.03361469865
0.285769049551, 0.086215161012, 0.991374394598
0.25742980257, -0.0494813542633, 3.03318402653
0.257422119369, 0.0876622534349, 0.991233657135
0.229096349213, -0.0490346534582, 3.03236433273
0.229088411008, 0.0913846981033, 0.990965792972
0.200784752041, -0.0482410480471, 3.03113871307
0.20077655903, 0.0979979663077, 0.990565278068
0.17251096767, -0.0470276629178, 3.02945311166
0.172502520193, 0.108109340529, 0.990014447737
0.144304573991, -0.0453502562079, 3.02714493253
0.144295872654, 0.122087496809, 0.989260167946
0.116211353251, -0.0430558777897, 3.02411376227
0.116202399072, 0.141206998303, 0.988269625037
0.0883112111542, -0.0398943347689, 3.02022893917
0.0883020058723, 0.167552751046, 0.987000120639
0.0607681063422, -0.0354371644584, 3.01524627077
0.0607586531701, 0.204695217926, 0.985371856167
0.0422517359803, -0.0311596479385, 3.01104325063
0.0422421161593, 0.240340594836, 0.983998369544
0.0332191838745, -0.0284337127652, 3.00868212799
0.0332094827599, 0.263056342684, 0.983226788576
0.965964016496, -0.00484013843138, 2.97775424891
0.965962710161, 0.459666185302, 0.973120001867
0.949878256351, -0.00705582804406, 2.98061788677
0.949876805243, 0.441202412926, 0.974055797592
0.917700546775, -0.0113565643874, 2.98531212015
0.917698806064, 0.405363540713, 0.975589805645
0.882425130573, -0.0158792455608, 2.98988180667
0.882423072381, 0.367675159074, 0.977083113571
0.847101546285, -0.0202166969189, 2.99413314813
0.847099170178, 0.331530333504, 0.978472390904
0.811741542975, -0.0243743066898, 2.99816090462
0.811738848624, 0.296884162849, 0.979788603879
0.776377712534, -0.0282494903795, 3.00241216381
0.776374699907, 0.264591503646, 0.981177854328
0.740954553517, -0.031442094008, 3.00675242224
0.740951222078, 0.237986916818, 0.982596188452
0.705447337769, -0.0341475869031, 3.01073267295
0.705443686762, 0.215441518449, 0.983896877222
0.669882700949, -0.0365222689052, 3.01437879609
0.669878729857, 0.195652831576, 0.985088377898
0.634276508337, -0.0386584758984, 3.01769973389
0.634272216787, 0.177851403324, 0.986173612676
0.598631722245, -0.0405801955555, 3.02076347365
0.598627109889, 0.161837339749, 0.987174798829
0.562955194125, -0.042303790493, 3.02358114178
0.562950260677, 0.147474287987, 0.988095572309
0.527254954745, -0.0438247812189, 3.02616885234
0.527249699992, 0.134799576516, 0.988941198957
0.491529579733, -0.0451366271111, 3.02852180157
0.491524003449, 0.123867709612, 0.989710108974
0.455781467706, -0.046211478077, 3.03064953406
0.455775569686, 0.114910767512, 0.990405421395
0.999893546104, 0.0, 3.00001549721
0.999892545137, 0.5, 0.980394658103
0.997872098465, -0.00030882382376, 2.99813447947
0.997871079305, 0.497426511027, 0.97977996852
0.993824759202, -0.00089386289892, 2.99437231083
0.993823703615, 0.492551266655, 0.978550545839
0.985728870041, -0.00205524145812, 2.98684792851
0.985727741591, 0.482873273294, 0.976091685761
0.9736387285, -0.00376709925163, 2.975614454
0.973637491238, 0.468608029436, 0.97242074762
0.0176688966066, -0.022278347338, 2.89726248531
0.0176590555381, 0.31435019968, 0.946816449512
0.00956872294937, -0.0166827540042, 2.89760204454
0.00955880897865, 0.360979366975, 0.946927412589
0.00292981663663, -0.00941899981386, 2.89791963227
0.00291984291522, 0.421509643057, 0.947031195698
4e-14, 0.0, 2.898229599
-1.00000899608e-05, 0.5, 0.947132488375
0.42807706644, -0.0568254223769, 2.89693534902
0.428070919078, 0.0264627058137, 0.946709546068
0.399135635399, -0.0580300560594, 2.89694690659
0.399129227562, 0.0164242591006, 0.946713322915
0.370184663512, -0.0589759455422, 2.89695653921
